iupac_A,iupac_B,AIJ,AJI,BIJ,BJI,CIJ,CJI,DIJ,DJI,EIJ,EJI,FIJ,FJI
oxidane,propan-2-one,0.0,0.0,602.558,317.554,0.5343,0.5343,0,0,0.0,0.0,0,0
oxidane,butan-2-one,4.1877,100.0,-1281.38,-3909.7,0.2,0.2,0,0,0.5308,-15.2257,0,0
oxidane,pentan-3-one,9.3679,-2.7484,-1637.87,1090.51,0.2,0.2,0,0,0.0,0.0,0,0
oxidane,hexan-3-one,10.5426,-1.8257,-1605.54,821.234,0.2,0.2,0,0,0.0,0.0,0,0
oxidane,heptan-2-one,10.1139,-1.0228,-1200.78,760.594,0.2,0.2,0,0,0.0,0.0,0,0
oxidane,octan-4-one,10.1139,-1.0228,-1200.78,760.594,0.2,0.2,0,0,0.0,0.0,0,0
oxidane,nonan-5-one,12.2586,-0.0793,-1173.84,609.365,0.2,0.2,0,0,0.0,0.0,0,0
oxidane,decan-5-one,12.2586,-0.0793,-1173.84,609.365,0.2,0.2,0,0,0.0,0.0,0,0
oxidane,undecan-6-one,12.2586,-0.0793,-1173.84,609.365,0.2,0.2,0,0,0.0,0.0,0,0
oxidane,dodecan-6-one,12.2586,-0.0793,-1173.84,609.365,0.2,0.2,0,0,0.0,0.0,0,0
propan-2-one,butan-2-one,-0.0101,-0.0392,347.931,-241.207,0.3,0.3,0,0,0.0,0.0,0,0
propan-2-one,pentan-3-one,0.0,0.0,-258.976,349.308,0.3,0.3,0,0,0.0,0.0,0,0
butan-2-one,pentan-3-one,0.0,0.0,-277.774,366.051,0.3,0.3,0,0,0.0,0.0,0,0
pentan-3-one,hexan-3-one,0.0,0.0,-154.087,181.894,0.3,0.3,0,0,0.0,0.0,0,0
pentan-3-one,heptan-2-one,0.0,0.0,147.022,-141.633,0.3,0.3,0,0,0.0,0.0,0,0
hexan-3-one,heptan-2-one,0.0,0.0,-346.936,718.622,0.45,0.45,0,0,0.0,0.0,0,0
propan-2-one,oxidane,0.0,0.0,317.554,602.558,0.5343,0.5343,0,0,0.0,0.0,0,0
butan-2-one,oxidane,100.0,4.1877,-3909.7,-1281.38,0.2,0.2,0,0,-15.2257,0.5308,0,0
pentan-3-one,oxidane,-2.7484,9.3679,1090.51,-1637.87,0.2,0.2,0,0,0.0,0.0,0,0
hexan-3-one,oxidane,-1.8257,10.5426,821.234,-1605.54,0.2,0.2,0,0,0.0,0.0,0,0
heptan-2-one,oxidane,-1.0228,10.1139,760.594,-1200.78,0.2,0.2,0,0,0.0,0.0,0,0
octan-4-one,oxidane,-1.0228,10.1139,760.594,-1200.78,0.2,0.2,0,0,0.0,0.0,0,0
nonan-5-one,oxidane,-0.0793,12.2586,609.365,-1173.84,0.2,0.2,0,0,0.0,0.0,0,0
decan-5-one,oxidane,-0.0793,12.2586,609.365,-1173.84,0.2,0.2,0,0,0.0,0.0,0,0
undecan-6-one,oxidane,-0.0793,12.2586,609.365,-1173.84,0.2,0.2,0,0,0.0,0.0,0,0
dodecan-6-one,oxidane,-0.0793,12.2586,609.365,-1173.84,0.2,0.2,0,0,0.0,0.0,0,0
butan-2-one,propan-2-one,-0.0392,-0.0101,-241.207,347.931,0.3,0.3,0,0,0.0,0.0,0,0
pentan-3-one,propan-2-one,0.0,0.0,349.308,-258.976,0.3,0.3,0,0,0.0,0.0,0,0
pentan-3-one,butan-2-one,0.0,0.0,366.051,-277.774,0.3,0.3,0,0,0.0,0.0,0,0
hexan-3-one,pentan-3-one,0.0,0.0,181.894,-154.087,0.3,0.3,0,0,0.0,0.0,0,0
heptan-2-one,pentan-3-one,0.0,0.0,-141.633,147.022,0.3,0.3,0,0,0.0,0.0,0,0
heptan-2-one,hexan-3-one,0.0,0.0,718.622,-346.936,0.45,0.45,0,0,0.0,0.0,0,0
